child,relation,parent
GO:0002253,is_a,GO:0050778
GO:0007275,is_a,GO:0032501
GO:0007275,is_a,GO:0048856
GO:0051301,is_a,GO:0009987
GO:0005615,is_a,GO:0044421
GO:0051930,regulates,GO:0019233
GO:0051930,is_a,GO:0051931
GO:0051931,is_a,GO:0031644
GO:0051931,regulates,GO:0007600
GO:0009636,is_a,GO:0042221
GO:0017080,is_a,GO:0016247
GO:0017080,regulates,GO:0005272
GO:0051302,regulates,GO:0051301
GO:0051302,is_a,GO:0050794
GO:0043067,regulates,GO:0012501
GO:0043067,is_a,GO:0010941
GO:0015267,is_a,GO:0022803
GO:0022408,negatively_regulates,GO:0098609
GO:0022408,is_a,GO:0022407
GO:0022408,is_a,GO:0007162
GO:0010181,is_a,GO:0043168
GO:0010181,is_a,GO:0048037
GO:0010181,is_a,GO:0032553
GO:0019210,is_a,GO:0004857
GO:0019210,part_of,GO:0042326
GO:0019210,is_a,GO:0019207
GO:0019210,negatively_regulates,GO:0016301
GO:0006468,is_a,GO:0016310
GO:0006468,is_a,GO:0006464
GO:0006469,is_a,GO:0033673
GO:0006469,is_a,GO:0001933
GO:0006469,is_a,GO:0045859
GO:0006469,negatively_regulates,GO:0004672
GO:0019216,regulates,GO:0006629
GO:0019216,is_a,GO:0080090
GO:0019219,regulates,GO:0006139
GO:0019219,is_a,GO:0031323
GO:0019219,is_a,GO:0051171
GO:0019219,is_a,GO:0080090
GO:0045087,is_a,GO:0006952
GO:0045087,is_a,GO:0006955
GO:0006461,is_a,GO:0065003
GO:0006461,is_a,GO:0071822
GO:0006461,part_of,GO:0070271
GO:0080090,regulates,GO:0044238
GO:0080090,is_a,GO:0019222
GO:0006464,is_a,GO:0044267
GO:0006464,is_a,GO:0036211
GO:0000272,is_a,GO:0016052
GO:0000272,is_a,GO:0009057
GO:0000272,is_a,GO:0005976
GO:0010959,regulates,GO:0030001
GO:0010959,is_a,GO:0043269
GO:0044764,is_a,GO:0009987
GO:0044764,is_a,GO:0051704
GO:0090257,regulates,GO:0003012
GO:0090257,is_a,GO:0044057
GO:0010951,is_a,GO:0052548
GO:0010951,negatively_regulates,GO:0004175
GO:0010951,is_a,GO:0010466
GO:0044004,is_a,GO:0051818
GO:0044004,is_a,GO:0044003
GO:0010952,is_a,GO:0045862
GO:0010952,positively_regulates,GO:0008233
GO:0010952,is_a,GO:0051345
GO:0010952,is_a,GO:0052547
GO:0044003,is_a,GO:0051701
GO:0044003,is_a,GO:0051817
GO:0040011,is_a,GO:0008150
GO:0010459,is_a,GO:0002027
GO:0010459,is_a,GO:0045822
GO:0040012,regulates,GO:0040011
GO:0040012,is_a,GO:0050789
GO:0044164,is_a,GO:0033655
GO:0016638,is_a,GO:0016491
GO:0005044,is_a,GO:0038024
GO:0048856,is_a,GO:0032502
GO:0050994,is_a,GO:0009894
GO:0050994,regulates,GO:0016042
GO:0050994,is_a,GO:0019216
GO:0019693,is_a,GO:0019637
GO:0019693,is_a,GO:0006796
GO:0019693,is_a,GO:1901135
GO:0050996,is_a,GO:0009896
GO:0050996,is_a,GO:0045834
GO:0050996,is_a,GO:0050994
GO:0050996,positively_regulates,GO:0016042
GO:0005764,is_a,GO:0000323
GO:0022857,is_a,GO:0005215
GO:0022857,part_of,GO:0055085
GO:0070011,is_a,GO:0008233
GO:0006793,is_a,GO:0044237
GO:0006140,is_a,GO:0019219
GO:0006140,regulates,GO:0009117
GO:0006140,is_a,GO:0019220
GO:0051801,is_a,GO:0051715
GO:0051801,is_a,GO:0051883
GO:0048523,is_a,GO:0048519
GO:0048523,negatively_regulates,GO:0009987
GO:0048523,is_a,GO:0050794
GO:0048522,is_a,GO:0048518
GO:0048522,positively_regulates,GO:0009987
GO:0048522,is_a,GO:0050794
GO:0005267,is_a,GO:0005261
GO:0005267,is_a,GO:0015079
GO:0005267,part_of,GO:0071805
GO:0042133,is_a,GO:0001505
GO:0042133,is_a,GO:0044237
GO:0005261,is_a,GO:0005216
GO:0005261,is_a,GO:0008324
GO:0042135,is_a,GO:0044248
GO:0042135,is_a,GO:0042133
GO:0034111,negatively_regulates,GO:0034109
GO:0034111,is_a,GO:0022408
GO:0034111,is_a,GO:0034110
GO:0005262,part_of,GO:0070588
GO:0005262,is_a,GO:0005261
GO:0005262,is_a,GO:0015085
GO:1901890,is_a,GO:0051130
GO:1901890,is_a,GO:0044089
GO:1901890,positively_regulates,GO:0034329
GO:1901890,is_a,GO:1901888
GO:0007610,is_a,GO:0008150
GO:0007160,is_a,GO:0031589
GO:0007162,negatively_regulates,GO:0007155
GO:0007162,is_a,GO:0030155
GO:0007162,is_a,GO:0048523
GO:0003013,is_a,GO:0003008
GO:0003014,is_a,GO:0003008
GO:0007165,part_of,GO:0007154
GO:0007165,part_of,GO:0051716
GO:0007165,is_a,GO:0009987
GO:0007165,part_of,GO:0023052
GO:0007165,is_a,GO:0050794
GO:0003018,is_a,GO:0003013
GO:0016791,part_of,GO:0016311
GO:0016791,is_a,GO:0042578
GO:0031347,regulates,GO:0006952
GO:0031347,is_a,GO:0080134
GO:0005549,is_a,GO:0005488
GO:0045785,positively_regulates,GO:0007155
GO:0045785,is_a,GO:0048518
GO:0045785,is_a,GO:0030155
GO:0016021,is_a,GO:0031224
GO:0002263,is_a,GO:0001775
GO:0002263,part_of,GO:0006955
GO:0002263,is_a,GO:0002252
GO:0052652,is_a,GO:0009190
GO:0052652,is_a,GO:0006164
GO:0098869,is_a,GO:1990748
GO:0016740,is_a,GO:0003824
GO:0016741,is_a,GO:0016740
GO:0016746,is_a,GO:0016740
GO:0044093,is_a,GO:0065009
GO:0044093,positively_regulates,GO:0003674
GO:0044092,is_a,GO:0065009
GO:0044092,negatively_regulates,GO:0003674
GO:0001906,is_a,GO:0008150
GO:0033036,is_a,GO:0051179
GO:0004222,is_a,GO:0004175
GO:0004222,is_a,GO:0008237
GO:0006935,part_of,GO:0042221
GO:0006935,is_a,GO:0042330
GO:0051051,is_a,GO:0051049
GO:0051051,negatively_regulates,GO:0006810
GO:0051051,is_a,GO:0048519
GO:0051050,is_a,GO:0048518
GO:0051050,is_a,GO:0051049
GO:0051050,positively_regulates,GO:0006810
GO:0006939,is_a,GO:0006936
GO:0016160,is_a,GO:0004553
GO:0044358,is_a,GO:0035738
GO:1902653,is_a,GO:1902652
GO:1902653,is_a,GO:0046165
GO:1902652,is_a,GO:0006066
GO:0001515,is_a,GO:0005102
GO:0042326,is_a,GO:0042325
GO:0042326,negatively_regulates,GO:0016310
GO:0042326,is_a,GO:0045936
GO:0016894,is_a,GO:0004519
GO:0009607,is_a,GO:0050896
GO:0051701,is_a,GO:0044419
GO:0051701,part_of,GO:0044403
GO:0051707,is_a,GO:0043207
GO:0051707,is_a,GO:0051704
GO:0010033,is_a,GO:0042221
GO:0051705,is_a,GO:0007610
GO:0051705,is_a,GO:0051704
GO:0051704,is_a,GO:0008150
GO:0044215,is_a,GO:0005575
GO:0023057,is_a,GO:0048519
GO:0023057,negatively_regulates,GO:0023052
GO:0023057,is_a,GO:0023051
GO:0005829,part_of,GO:0005737
GO:0005829,is_a,GO:0044444
GO:0039694,is_a,GO:0019079
GO:1900373,positively_regulates,GO:0006164
GO:1900373,is_a,GO:1900544
GO:1900373,is_a,GO:0030810
GO:1900373,is_a,GO:1900371
GO:1900371,is_a,GO:1900542
GO:1900371,is_a,GO:0030808
GO:1900371,regulates,GO:0006164
GO:0004415,is_a,GO:0015929
GO:0016298,is_a,GO:0016788
GO:0004806,is_a,GO:0016298
GO:0004806,is_a,GO:0052689
GO:0099600,is_a,GO:0004872
GO:0099601,regulates,GO:0030594
GO:0099601,is_a,GO:0010469
GO:0016811,is_a,GO:0016810
GO:0004035,is_a,GO:0016791
GO:0001934,positively_regulates,GO:0006468
GO:0001934,is_a,GO:0031401
GO:0001934,is_a,GO:0042327
GO:0001934,is_a,GO:0001932
GO:0098655,is_a,GO:0006812
GO:0098655,is_a,GO:0034220
GO:0032963,is_a,GO:0044259
GO:0008253,is_a,GO:0008252
GO:0008252,is_a,GO:0016791
GO:0016817,is_a,GO:0016787
GO:0045321,is_a,GO:0002376
GO:0045321,is_a,GO:0001775
GO:0006807,is_a,GO:0008152
GO:0035792,is_a,GO:0044218
GO:0050829,is_a,GO:0042742
GO:0042311,is_a,GO:0097755
GO:0044242,is_a,GO:0044248
GO:0044242,is_a,GO:0044255
GO:0044242,is_a,GO:0016042
GO:1900047,is_a,GO:0048519
GO:1900047,is_a,GO:1900046
GO:1900047,negatively_regulates,GO:0007599
GO:0001562,is_a,GO:0051707
GO:0044267,is_a,GO:0019538
GO:0044267,is_a,GO:0044260
GO:0044243,is_a,GO:0044236
GO:0044262,is_a,GO:0005975
GO:0044262,is_a,GO:0044237
GO:0008083,is_a,GO:0005102
GO:0046914,is_a,GO:0046872
GO:0008081,is_a,GO:0042578
GO:0043300,is_a,GO:0002697
GO:0043300,regulates,GO:0043299
